Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2020-05-25 14:00:00,99.64,24.64,14.07,1.02,46.19
2020-05-25 15:00:00,160.01,61.51,14.3,0.97,43.85
2020-05-25 16:00:00,169.34,59.17,14.74,0.98,42.74
2020-05-25 17:00:00,97.07,25.09,14.51,1.09,42.51
2020-05-25 18:00:00,70.64,3.12,14.24,1.06,40.92
2020-05-25 19:00:00,56.67,10.13,14.17,1.05,39.29
2020-05-25 20:00:00,77.26,12.31,14.09,0.83,31.35
2020-05-25 21:00:00,162.27,36.43,14.35,0.84,24.13
2020-05-25 22:00:00,151.85,54.85,14.53,0.99,14.62
2020-05-25 23:00:00,85.4,27.36,14.3,1.07,10.42
2020-05-26 00:00:00,100.85,25.94,14.18,1.09,10.46
2020-05-26 01:00:00,103.13,32.39,14.19,1.05,10.69
2020-05-26 02:00:00,103.02,38.98,14.14,1.06,9.62
2020-05-26 03:00:00,119.93,42.4,14.15,1.17,7.39
2020-05-26 04:00:00,150.91,57.8,14.14,1.18,7.51
2020-05-26 05:00:00,149.4,62.37,14.19,1.06,8.16
2020-05-26 06:00:00,146.32,58.06,14.11,1.05,10.76
2020-05-26 07:00:00,162.65,53.13,14.08,0.99,11.08
2020-05-26 08:00:00,163.55,43.4,14.02,0.84,16.64
2020-05-26 09:00:00,160.86,35.71,14.11,0.84,22.07
2020-05-26 10:00:00,229.58,43.51,14.12,0.86,29.06
2020-05-26 11:00:00,281.02,37.87,14.07,0.82,32.21
2020-05-26 12:00:00,273.14,42.48,14.07,0.8,36.33
2020-05-26 13:00:00,264.5,33.59,14.2,0.78,37.59
2020-05-26 14:00:00,208.93,33.39,14.1,0.77,34.46
2020-05-26 15:00:00,150.64,25.21,14.1,0.76,35.32
2020-05-26 16:00:00,133.65,22.74,14.16,0.75,34.43
2020-05-26 17:00:00,117.26,20.53,14.13,0.76,36.75
2020-05-26 18:00:00,105.99,15.73,14.05,0.78,34.73
2020-05-26 19:00:00,121.79,18.6,14.11,0.8,31.51
2020-05-26 20:00:00,154.55,28.99,14.0,0.89,20.57
2020-05-26 21:00:00,144.61,21.41,14.06,0.96,13.72
2020-05-26 22:00:00,159.99,26.44,14.07,1.07,9.32
2020-05-26 23:00:00,165.47,35.72,14.08,1.2,9.75
2020-05-27 00:00:00,242.87,62.11,14.0,1.38,27.37
2020-05-27 01:00:00,210.5,50.02,14.12,1.0,37.06
2020-05-27 02:00:00,102.7,40.3,14.13,1.02,31.08
2020-05-27 03:00:00,173.19,38.29,14.11,0.88,26.53
2020-05-27 04:00:00,92.41,30.36,14.1,0.94,24.82
2020-05-27 05:00:00,82.38,31.37,14.04,0.96,19.34
2020-05-27 06:00:00,83.68,32.32,14.03,1.0,14.73
2020-05-27 07:00:00,104.66,40.83,14.07,1.05,14.98
2020-05-27 08:00:00,90.52,34.28,14.05,1.04,24.68
2020-05-27 09:00:00,168.08,59.15,14.02,1.03,26.15
2020-05-27 10:00:00,257.17,56.04,14.05,0.95,27.78
2020-05-27 11:00:00,311.66,52.71,14.07,0.95,33.44
2020-05-27 12:00:00,311.22,76.07,14.22,0.86,35.06
2020-05-27 13:00:00,224.91,58.56,14.12,0.85,40.75
2020-05-27 14:00:00,170.39,48.21,14.17,0.85,41.26
2020-05-27 15:00:00,162.57,20.94,14.2,0.83,42.49
2020-05-27 16:00:00,100.12,23.74,14.08,0.83,44.01
2020-05-27 17:00:00,101.29,24.28,14.12,0.85,43.3
2020-05-27 18:00:00,83.33,23.63,14.02,0.85,42.75
2020-05-27 19:00:00,124.71,37.43,14.14,0.96,54.32
2020-05-27 20:00:00,152.91,52.97,14.15,0.99,52.27
2020-05-27 21:00:00,163.62,48.33,14.24,1.1,41.86
2020-05-27 22:00:00,191.54,60.84,14.15,1.14,33.79
2020-05-27 23:00:00,243.69,71.64,14.21,1.15,33.34
2020-05-28 00:00:00,306.78,63.99,14.16,0.9,35.0
2020-05-28 01:00:00,211.05,27.87,14.07,0.76,40.78
2020-05-28 02:00:00,130.68,148.59,14.03,0.8,38.73
2020-05-28 03:00:00,170.85,80.14,14.14,0.91,32.23
2020-05-28 04:00:00,422.14,40.96,14.1,0.92,28.84
2020-05-28 05:00:00,353.8,33.72,14.09,0.92,27.66
2020-05-28 06:00:00,262.0,29.95,14.17,0.94,26.43
2020-05-28 07:00:00,216.47,32.68,14.11,0.96,24.26
2020-05-28 08:00:00,222.42,35.1,14.11,1.02,23.08
2020-05-28 09:00:00,210.13,33.04,14.13,0.95,24.12
2020-05-28 10:00:00,236.53,38.24,14.09,1.01,28.46
2020-05-28 11:00:00,316.65,56.04,14.13,1.02,31.39
2020-05-28 12:00:00,267.81,53.08,14.12,0.98,36.19
